Accepted,مقبول,
Active,نشط,
Address,عنوان,
All,الكل,
Amount,كمية,
Apps,التطبيقات,
Assignment,مهمة,
Batch,الدفعات,
Batch Description,وصف الباتش,
Batch Details,تفاصيل الدفعة,
Billing Details,تفاصيل الفاتورة,
Body,الجسم,
Branch,فرع,
Cancelled,ألغيت,
Category,فئة,
Certificate,شهادة,
City,مدينة,
Client ID,رمز العميل,
Client Secret,سر العميل,
Closed,مغلق,
Code,رمز,
Color,اللون,
Comments,تعليقات,
Company,شركة,
Company Details,تفاصيل الشركة,
Company Logo,شعار الشركة,
Company Name,اسم الشركة,
Complete,أكمال,
Completed,أكتمل,
Condition,الحالة,
Confirmation Email Template,نموذج البريد الإلكتروني للتأكيد,
Content,محتوى,
Contract,عقد,
Country,الدولة,
Course,المقرر التعليمي,
Currency,العملة,
Custom HTML,مخصصةHTML,
Dashboard,لوحة القيادة,
Date,تاريخ,
Day,يوم,
Default Currency,العملة الافتراضية,
Description,وصف,
Disabled,معطل,
Document,وثيقة,
Duration,المدة الزمنية,
Education,التعليم,
Email Sent,إرسال البريد الإلكتروني,
Emails,البريد الإلكتروني,
Enable,تمكين,
Enabled,تمكين,
End Date,نهاية التاريخ,
End Time,وقت الانتهاء,
Event,حدث,
Expiry Date,تاريخ انتهاء الصلاحية,
Explanation,تفسير,
Explanation ,تفسير ,
Fail,فشل,
Featured,متميز,
Feedback,الملاحظات,
Field To Check,حقل للتحقق,
File Type,نوع الملف,
Friday,الجمعة,
From,من,
From Date,من تاريخ,
Full Name,الاسم الكامل,
Function,وظيفة,
General,عام,
Icon,أيقونة,
Image,صورة,
In Progress,في تَقَدم,
Inactive,غير نشط,
Index,مؤشر,
Industry,صناعة,
Issue Date,تاريخ القضية,
Job Title,المسمى الوظيفي,
Jobs,وظائف,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Label,ملصق,
Local,محلي,
Location,الموقع,
Medium,متوسط,
Meta Description,ميتا الوصف,
Meta Image,صورة ميتا,
Milestone,معلم,
Monday,يوم الاثنين,
New,جديد,
Not Applicable,لا ينطبق,
Notifications,إخطارات,
OAuth Client ID,معرف عميل OAuth,
Open,فتح,
Option,الخيار,
Option 1,الخيار 1,
Option 2,الخيار 2,
Option 3,الخيار 3,
Option 4,الخيار 4,
Organization,منظمة,
PDF,ملف PDF,
Pass,إجتاز,
Password,كلمة السر,
Payment,دفع,
Payment Gateway,بوابة الدفع,
Payment Received,تم استلام الدفعة,
Pending,معلق,
Percentage,النسبة المئوية,
Preview Image,معاينة الصورة,
Pricing,التسعير,
Private,خاص,
Progress,تقدم,
Public,جمهور,
Published,نشرت,
Published On,نشرت في,
Rating,تقييم,
Reference DocName,مرجع DocName,
Reference DocType,مرجع DOCTYPE,
Reference Document Type,مرجع نوع الوثيقة,
Rejected,مرفوض,
Reload,تحديث,
Result,نتيجة,
Resume,استئنف,
Review,إعادة النظر,
Role,صلاحية,
Route,مسار,
Saturday,السبت,
Schedule,جدول,
Score,أحرز هدفاً,
Session Defaults,الجلسة الافتراضية,
Sidebar,الشريط الجانبي,
Sidebar Items,عناصر الشريط الجانبي,
Skill,مهارة,
Skill Name,اسم المهارة,
Source,المصدر,
Start Date,تاريخ البدء,
Start Time,بداية الوقت,
Status,الحالة,
Summary,ملخص,
Sunday,الأحد,
System Manager,مدير النظام,
Tags,بطاقات,
Template,قالب,
Text,نص,
Thursday,الخميس,
Time,زمن,
Title,اللقب,
To,إلى,
To Date,إلى تاريخ,
Tuesday,الثلاثاء,
Type,النوع,
URL,رابط الانترنت,
User,المستعمل,
User Field,حقل المستخدم,
User Image,صورة المستخدم,
Username,اسم االمستخدم,
Value,القيمة,
Value Change,قيمة التغير,
View Website,مشاهدة الموقع,
Web Page,صفحة على الإنترنت,
Wednesday,الأربعاء,
